OBJID,NVOTE,N_EL,N_CS,N_CW,N_ACW,N_EDGE,N_DK,N_MG,EL,CS,CW,ACW,EDGE,DK,MG,EL_DEB,CS_DEB,EL_DEB[123],CS_DEB[123],AMATEUR,EXPERT,AMATEUR_MAJOR,HAND
588015510343123099,47,36,10,1,2,7,1,0,0.766,0.213,0.021,0.043,0.149,0.021,0.000,0.602,0.373,0.784,0.387,U,M,0,0
587731186203951236,31,7,24,18,1,5,0,0,0.226,0.774,0.581,0.032,0.161,0.000,0.000,0.226,0.774,0.379,0.748,U,L,1,1
587731187277693087,43,33,9,2,1,6,1,0,0.767,0.209,0.047,0.023,0.140,0.023,0.000,0.700,0.276,0.875,0.290,U,M,0,0
587731187814563977,28,1,26,26,0,0,0,1,0.036,0.929,0.929,0.000,0.000,0.000,0.036,0.036,0.929,0.037,0.963,S,L,1,1
588015507658768490,25,3,21,16,0,5,1,0,0.120,0.840,0.640,0.000,0.200,0.040,0.000,0.061,0.898,0.064,0.936,S,L,1,1
587727225690128575,67,63,1,0,0,1,3,0,0.940,0.015,0.000,0.000,0.015,0.045,0.000,0.927,0.028,0.971,0.029,E,M,0,0
587727227837612151,27,21,6,0,1,5,0,0,0.778,0.222,0.000,0.037,0.185,0.000,0.000,0.714,0.286,0.889,0.238,U,M,0,0
587731186740822193,29,4,25,1,21,3,0,0,0.138,0.862,0.034,0.724,0.103,0.000,0.000,0.041,0.959,0.041,0.959,S,L,1,-1
587731185667080368,60,49,5,0,1,4,6,0,0.817,0.083,0.000,0.017,0.067,0.100,0.000,0.814,0.086,0.927,0.073,U,M,0,0
587727223024189538,54,45,8,2,1,5,1,0,0.833,0.148,0.037,0.019,0.093,0.019,0.000,0.630,0.345,0.828,0.354,U,M,0,0
587727225690194001,35,0,35,33,0,2,0,0,0.000,1.000,0.943,0.000,0.057,0.000,0.000,0.000,1.000,0.000,1.000,S,L,1,1
587727225690259613,32,4,28,19,1,8,0,0,0.125,0.875,0.594,0.031,0.250,0.000,0.000,0.040,0.960,0.040,0.960,S,L,1,1
587730772815118492,23,14,8,0,0,8,1,0,0.609,0.348,0.000,0.000,0.348,0.043,0.000,0.609,0.348,0.746,0.364,U,M,0,0
