OBJID,NVOTE,N_EL,N_CS,N_CW,N_ACW,N_EDGE,N_DK,N_MG,EL,CS,CW,ACW,EDGE,DK,MG,EL_DEB,CS_DEB,AMATEUR,ES_EXPERT,MG_EXPERT,MG_AMATEUR
587739505014866098,58,29,23,11,0,12,4,2,0.500,0.397,0.190,0.000,0.207,0.069,0.034,0.215,0.645,U,L,0,0
587729774217461829,40,2,38,0,37,1,0,0,0.050,0.950,0.000,0.925,0.025,0.000,0.000,0.050,0.950,S,L,0,0
587731680111886628,34,11,20,18,0,2,3,0,0.324,0.588,0.529,0.000,0.059,0.088,0.000,0.147,0.751,U,L,0,0
587727232134742092,35,10,25,5,1,19,0,0,0.286,0.714,0.143,0.029,0.543,0.000,0.000,0.286,0.714,U,L,0,0
587729228758384804,54,5,19,0,14,5,1,29,0.093,0.352,0.000,0.259,0.093,0.019,0.537,0.057,0.374,U,L,1,1
587728677393006720,73,12,60,1,38,21,0,1,0.164,0.822,0.014,0.521,0.288,0.000,0.014,0.096,0.890,S,L,0,0
587728309633745029,37,1,5,0,5,0,0,31,0.027,0.135,0.000,0.135,0.000,0.000,0.838,0.024,0.137,U,L,1,1
587733432457625950,33,0,33,33,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588017702941032630,63,0,62,60,2,0,0,1,0.000,0.984,0.952,0.032,0.000,0.000,0.016,0.000,0.984,S,L,0,0
587735428546953361,57,36,20,1,1,18,1,0,0.632,0.351,0.018,0.018,0.316,0.018,0.000,0.487,0.494,U,M,0,0
587728930798239789,28,22,5,1,0,4,0,1,0.786,0.179,0.036,0.000,0.143,0.000,0.036,0.619,0.339,U,M,0,0
587736752469836031,28,1,27,0,27,0,0,0,0.036,0.964,0.000,0.964,0.000,0.000,0.000,0.036,0.964,S,L,0,0
587726878349197510,32,8,1,0,0,1,5,18,0.250,0.031,0.000,0.000,0.031,0.156,0.562,0.240,0.036,U,N,1,1
587734863221162110,37,7,20,0,15,5,5,5,0.189,0.541,0.000,0.405,0.135,0.135,0.135,0.074,0.629,U,L,0,0
587731513679610009,27,6,17,4,6,7,1,3,0.222,0.630,0.148,0.222,0.259,0.037,0.111,0.064,0.765,U,L,0,0
587733409905705068,29,19,6,0,1,5,3,1,0.655,0.207,0.000,0.034,0.172,0.103,0.034,0.626,0.235,U,M,0,0
587724240689037404,32,27,4,0,1,3,1,0,0.844,0.125,0.000,0.031,0.094,0.031,0.000,0.693,0.269,U,M,0,0
587735660479381523,28,0,27,27,0,0,0,1,0.000,0.964,0.964,0.000,0.000,0.000,0.036,0.000,0.964,S,L,0,0
587739811572351311,27,4,21,0,17,4,1,1,0.148,0.778,0.000,0.630,0.148,0.037,0.037,0.025,0.892,S,L,0,0
587730774951657905,29,0,29,27,1,1,0,0,0.000,1.000,0.931,0.034,0.034,0.000,0.000,0.000,1.000,S,L,0,0
587731172769465139,35,0,28,0,28,0,1,6,0.000,0.800,0.000,0.800,0.000,0.029,0.171,0.000,0.800,U,L,0,0
587726015069356178,54,50,4,0,1,3,0,0,0.926,0.074,0.000,0.019,0.056,0.000,0.000,0.889,0.111,U,M,0,0
587734305954463933,34,3,31,28,0,3,0,0,0.088,0.912,0.824,0.000,0.088,0.000,0.000,0.049,0.951,S,L,0,0
588015508206059621,36,0,36,36,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588297863635075267,52,4,37,1,20,16,4,7,0.077,0.712,0.019,0.385,0.308,0.077,0.135,0.070,0.718,U,L,0,0
587739809952891186,30,1,10,0,8,2,1,18,0.033,0.333,0.000,0.267,0.067,0.033,0.600,0.012,0.343,U,N,1,1
587732134304350321,31,28,2,0,0,2,0,1,0.903,0.065,0.000,0.000,0.065,0.000,0.032,0.877,0.090,E,M,0,0
588016841246769361,34,5,27,23,0,4,2,0,0.147,0.794,0.676,0.000,0.118,0.059,0.000,0.031,0.904,S,L,0,0
588010359624106124,20,18,1,1,0,0,1,0,0.900,0.050,0.050,0.000,0.000,0.050,0.000,0.837,0.109,U,M,0,0
587739505544134760,38,5,33,0,4,29,0,0,0.132,0.868,0.000,0.105,0.763,0.000,0.000,0.059,0.941,S,L,0,0
588017570315239493,22,0,21,19,0,2,0,1,0.000,0.955,0.864,0.000,0.091,0.000,0.045,0.000,0.955,S,L,0,0
587727180064686217,62,60,2,0,0,2,0,0,0.968,0.032,0.000,0.000,0.032,0.000,0.000,0.967,0.033,E,M,0,0
587731499724767426,35,8,26,8,7,11,1,0,0.229,0.743,0.229,0.200,0.314,0.029,0.000,0.052,0.914,S,L,0,0
587734949115789795,55,5,12,0,1,11,13,25,0.091,0.218,0.000,0.018,0.200,0.236,0.455,0.048,0.235,U,N,1,0
587736543093457128,41,1,39,39,0,0,0,1,0.024,0.951,0.951,0.000,0.000,0.000,0.024,0.004,0.972,S,L,0,0
588017603620634728,33,27,3,0,1,2,3,0,0.818,0.091,0.000,0.030,0.061,0.091,0.000,0.670,0.216,U,M,0,0
587728917914190019,25,22,1,0,0,1,2,0,0.880,0.040,0.000,0.000,0.040,0.080,0.000,0.810,0.101,U,M,0,0
588015510343516313,23,22,1,0,0,1,0,0,0.957,0.043,0.000,0.000,0.043,0.000,0.000,0.889,0.111,E,M,0,0
588015508193411187,61,40,20,0,5,15,1,0,0.656,0.328,0.000,0.082,0.246,0.016,0.000,0.582,0.401,U,M,0,0
587727220875526332,40,2,38,37,1,0,0,0,0.050,0.950,0.925,0.025,0.000,0.000,0.000,0.026,0.974,S,L,0,0
587736805620252792,56,46,4,0,1,3,5,1,0.821,0.071,0.000,0.018,0.054,0.089,0.018,0.680,0.184,U,L,0,0
587735348014481550,29,27,1,0,0,1,1,0,0.931,0.034,0.000,0.000,0.034,0.034,0.000,0.902,0.062,E,M,0,0
588018091081138197,24,0,0,0,0,0,1,23,0.000,0.000,0.000,0.000,0.000,0.042,0.958,0.000,0.000,U,N,1,1
587731520661094663,31,0,31,31,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588017625074303075,34,6,27,22,1,4,0,1,0.176,0.794,0.647,0.029,0.118,0.000,0.029,0.077,0.892,S,L,0,0
587732772659789975,60,56,0,0,0,0,4,0,0.933,0.000,0.000,0.000,0.000,0.067,0.000,0.933,0.000,E,M,0,0
587738948282482844,50,28,17,5,0,12,5,0,0.560,0.340,0.100,0.000,0.240,0.100,0.000,0.183,0.655,U,L,0,0
587735666379128962,31,6,25,1,20,4,0,0,0.194,0.806,0.032,0.645,0.129,0.000,0.000,0.150,0.850,S,M,0,0
587738410859364505,30,1,26,0,22,4,0,3,0.033,0.867,0.000,0.733,0.133,0.000,0.100,0.021,0.878,S,L,0,0
587731521735098459,31,25,5,1,0,4,1,0,0.806,0.161,0.032,0.000,0.129,0.032,0.000,0.806,0.161,U,M,0,0
588017704019755162,60,49,7,0,7,0,4,0,0.817,0.117,0.000,0.117,0.000,0.067,0.000,0.443,0.413,U,L,0,0
587731185115857080,31,29,2,0,0,2,0,0,0.935,0.065,0.000,0.000,0.065,0.000,0.000,0.935,0.065,E,M,0,0
587736752467214450,54,5,49,2,36,11,0,0,0.093,0.907,0.037,0.667,0.204,0.000,0.000,0.019,0.981,S,L,0,0
