OBJID,NVOTE,N_EL,N_CS,N_CW,N_ACW,N_EDGE,N_DK,N_MG,EL,CS,CW,ACW,EDGE,DK,MG,EL_DEB,CS_DEB,AMATEUR,ES_EXPERT,MG_EXPERT,MG_AMATEUR
587738617025658883,64,0,61,1,60,0,0,3,0.000,0.953,0.016,0.938,0.000,0.000,0.047,0.000,0.953,S,L,0,0
587725552275882168,25,22,2,1,0,1,1,0,0.880,0.080,0.040,0.000,0.040,0.040,0.000,0.875,0.085,U,M,0,0
587731187277955213,21,6,0,0,0,0,1,14,0.286,0.000,0.000,0.000,0.000,0.048,0.667,0.286,0.000,U,N,1,1
588010879308660763,27,0,27,0,27,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588013382729072849,25,0,25,24,1,0,0,0,0.000,1.000,0.960,0.040,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588017702941950087,29,7,19,15,1,3,1,2,0.241,0.655,0.517,0.034,0.103,0.034,0.069,0.241,0.655,U,L,0,0
587722952230502748,33,30,1,0,0,1,2,0,0.909,0.030,0.000,0.000,0.030,0.061,0.000,0.879,0.059,U,M,0,0
588009367472636130,52,48,2,0,0,2,1,1,0.923,0.038,0.000,0.000,0.038,0.019,0.019,0.844,0.111,U,M,0,0
587725551212167253,24,22,2,0,1,1,0,0,0.917,0.083,0.000,0.042,0.042,0.000,0.000,0.905,0.095,E,M,0,0
587741391575711865,63,3,60,52,1,7,0,0,0.048,0.952,0.825,0.016,0.111,0.000,0.000,0.048,0.952,S,L,0,0
587729407537840211,34,4,29,24,0,5,0,1,0.118,0.853,0.706,0.000,0.147,0.000,0.029,0.118,0.853,S,L,0,0
587728906638983443,32,27,4,3,0,1,0,1,0.844,0.125,0.094,0.000,0.031,0.000,0.031,0.758,0.209,U,M,0,0
588009370689405049,48,41,6,0,1,5,0,1,0.854,0.125,0.000,0.021,0.104,0.000,0.021,0.705,0.270,U,M,0,0
588017605224169603,22,0,22,22,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588010359085072514,62,59,1,0,0,1,2,0,0.952,0.016,0.000,0.000,0.016,0.032,0.000,0.952,0.016,E,M,0,0
587739381524201634,27,0,27,26,0,1,0,0,0.000,1.000,0.963,0.000,0.037,0.000,0.000,0.000,1.000,S,L,0,0
587727180596445207,27,16,11,5,0,6,0,0,0.593,0.407,0.185,0.000,0.222,0.000,0.000,0.221,0.779,U,L,0,0
587725552811638884,23,20,2,0,1,1,1,0,0.870,0.087,0.000,0.043,0.043,0.043,0.000,0.782,0.170,U,M,0,0
587731868558557319,29,0,29,0,29,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587726016144736377,59,41,14,0,3,11,4,0,0.695,0.237,0.000,0.051,0.186,0.068,0.000,0.620,0.310,U,M,0,0
588017566560485505,59,0,59,1,58,0,0,0,0.000,1.000,0.017,0.983,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587726878346510475,27,7,18,4,2,12,1,1,0.259,0.667,0.148,0.074,0.444,0.037,0.037,0.080,0.833,S,L,0,0
587727213341507747,30,0,30,29,1,0,0,0,0.000,1.000,0.967,0.033,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587732483803578497,29,29,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,E,M,0,0
588010877687300186,59,1,58,56,2,0,0,0,0.017,0.983,0.949,0.034,0.000,0.000,0.000,0.009,0.991,S,L,0,0
588010879841403154,28,21,3,1,0,2,4,0,0.750,0.107,0.036,0.000,0.071,0.143,0.000,0.667,0.179,U,M,0,0
587734622709088392,49,14,1,0,0,1,1,33,0.286,0.020,0.000,0.000,0.020,0.020,0.673,0.272,0.026,U,M,1,1
587732483822583838,36,0,35,34,1,0,0,1,0.000,0.972,0.944,0.028,0.000,0.000,0.028,0.000,0.972,S,L,0,0
587724242299781258,29,21,6,0,0,6,2,0,0.724,0.207,0.000,0.000,0.207,0.069,0.000,0.482,0.425,U,M,0,0
588007006335926408,31,0,31,30,0,1,0,0,0.000,1.000,0.968,0.000,0.032,0.000,0.000,0.000,1.000,S,L,0,0
588017702410715266,35,0,35,35,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587726033326899361,54,34,8,1,3,4,11,1,0.630,0.148,0.019,0.056,0.074,0.204,0.019,0.304,0.332,U,L,0,0
587739506081005594,35,5,30,29,0,1,0,0,0.143,0.857,0.829,0.000,0.029,0.000,0.000,0.037,0.963,S,L,0,0
587729652347633760,22,0,16,13,2,1,4,2,0.000,0.727,0.591,0.091,0.045,0.182,0.091,0.000,0.727,U,L,0,0
587732470924312748,17,2,15,0,14,1,0,0,0.118,0.882,0.000,0.824,0.059,0.000,0.000,0.067,0.933,S,L,0,0
587733441044611201,25,10,14,10,0,4,1,0,0.400,0.560,0.400,0.000,0.160,0.040,0.000,0.131,0.817,S,L,0,0
588010135191027745,29,2,27,0,27,0,0,0,0.069,0.931,0.000,0.931,0.000,0.000,0.000,0.044,0.956,S,L,0,0
587725775607365792,35,6,26,0,19,7,2,1,0.171,0.743,0.000,0.543,0.200,0.057,0.029,0.115,0.798,S,L,0,0
588848899897688200,61,0,54,1,49,4,2,5,0.000,0.885,0.016,0.803,0.066,0.033,0.082,0.000,0.885,S,L,0,0
588017979973173293,56,4,51,2,42,7,0,1,0.071,0.911,0.036,0.750,0.125,0.000,0.018,0.042,0.940,S,L,0,0
588017979983331573,39,1,37,36,0,1,0,1,0.026,0.949,0.923,0.000,0.026,0.000,0.026,0.020,0.954,S,L,0,0
587732483296854177,38,30,6,1,0,5,2,0,0.789,0.158,0.026,0.000,0.132,0.053,0.000,0.654,0.286,U,M,0,0
587731868551413939,28,21,7,0,2,5,0,0,0.750,0.250,0.000,0.071,0.179,0.000,0.000,0.533,0.467,U,M,0,0
587725469591863635,37,0,37,2,34,1,0,0,0.000,1.000,0.054,0.919,0.027,0.000,0.000,0.000,1.000,S,L,0,0
588015508213989555,28,0,28,1,26,1,0,0,0.000,1.000,0.036,0.929,0.036,0.000,0.000,0.000,1.000,S,L,0,0
588011101034709186,35,32,2,1,1,0,1,0,0.914,0.057,0.029,0.029,0.000,0.029,0.000,0.882,0.088,U,M,0,0
587734948587438252,61,20,35,7,7,21,5,1,0.328,0.574,0.115,0.115,0.344,0.082,0.016,0.204,0.690,S,L,0,0
587739304758083647,37,0,33,1,27,5,1,3,0.000,0.892,0.027,0.730,0.135,0.027,0.081,0.000,0.892,S,L,0,0
587725471212044550,28,12,16,0,5,11,0,0,0.429,0.571,0.000,0.179,0.393,0.000,0.000,0.258,0.742,S,M,0,0
587739096988582067,58,0,58,1,56,1,0,0,0.000,1.000,0.017,0.966,0.017,0.000,0.000,0.000,1.000,S,L,0,0
587731187268124896,35,10,25,10,3,12,0,0,0.286,0.714,0.286,0.086,0.343,0.000,0.000,0.076,0.924,S,L,0,0
588017705086943381,37,34,2,0,1,1,1,0,0.919,0.054,0.000,0.027,0.027,0.027,0.000,0.839,0.130,E,M,0,0
587739407837560964,24,11,11,8,0,3,0,2,0.458,0.458,0.333,0.000,0.125,0.000,0.083,0.217,0.678,U,L,0,0
588290881102217482,32,30,1,0,0,1,1,0,0.938,0.031,0.000,0.000,0.031,0.031,0.000,0.923,0.045,E,M,0,0
588017703484850262,22,15,3,1,0,2,3,1,0.682,0.136,0.045,0.000,0.091,0.136,0.045,0.628,0.185,U,L,0,0
587729409146159295,42,2,40,2,36,2,0,0,0.048,0.952,0.048,0.857,0.048,0.000,0.000,0.048,0.952,S,L,0,0
588013383799472402,35,7,17,1,2,14,11,0,0.200,0.486,0.029,0.057,0.400,0.314,0.000,0.083,0.571,U,L,0,0
587734894367539295,51,47,3,0,1,2,0,1,0.922,0.059,0.000,0.020,0.039,0.000,0.020,0.889,0.091,E,M,0,0
588017603614802039,45,0,45,0,45,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587730774946152971,23,8,14,1,10,3,0,1,0.348,0.609,0.043,0.435,0.130,0.000,0.043,0.101,0.843,U,L,0,0
587741821601382536,26,0,25,24,0,1,0,1,0.000,0.962,0.923,0.000,0.038,0.000,0.038,0.000,0.962,S,L,0,0
587726879417565347,35,35,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,E,M,0,0
587738946138669202,22,0,22,0,22,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587727178445750368,54,44,10,4,0,6,0,0,0.815,0.185,0.074,0.000,0.111,0.000,0.000,0.663,0.337,U,M,0,0
587727180597493908,38,28,4,1,2,1,1,5,0.737,0.105,0.026,0.053,0.026,0.026,0.132,0.672,0.162,U,M,0,0
587735743151079582,24,0,24,0,24,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588013383811858612,30,24,4,0,1,3,2,0,0.800,0.133,0.000,0.033,0.100,0.067,0.000,0.793,0.140,U,M,0,0
587735429084479638,60,2,54,1,52,1,0,4,0.033,0.900,0.017,0.867,0.017,0.000,0.067,0.033,0.900,S,L,0,0
587736812598460822,33,19,14,2,3,9,0,0,0.576,0.424,0.061,0.091,0.273,0.000,0.000,0.417,0.583,U,M,0,0
588017605238980716,27,26,1,0,0,1,0,0,0.963,0.037,0.000,0.000,0.037,0.000,0.000,0.922,0.078,E,M,0,0
587722982293897555,58,53,2,0,0,2,3,0,0.914,0.034,0.000,0.000,0.034,0.052,0.000,0.896,0.052,U,M,0,0
587734892217958556,27,11,8,2,0,6,7,1,0.407,0.296,0.074,0.000,0.222,0.259,0.037,0.201,0.433,U,L,0,0
587728309102248169,49,4,43,36,1,6,0,2,0.082,0.878,0.735,0.020,0.122,0.000,0.041,0.015,0.942,S,L,0,0
587734948588355657,64,0,56,54,1,1,0,8,0.000,0.875,0.844,0.016,0.016,0.000,0.125,0.000,0.875,S,L,0,0
587727178995597443,37,16,21,12,1,8,0,0,0.432,0.568,0.324,0.027,0.216,0.000,0.000,0.147,0.853,U,L,0,0
587727866181386495,25,21,3,0,1,2,1,0,0.840,0.120,0.000,0.040,0.080,0.040,0.000,0.711,0.243,U,M,0,0
587732771573858350,27,19,2,0,2,0,5,1,0.704,0.074,0.000,0.074,0.000,0.185,0.037,0.679,0.097,U,M,0,0
587733603181265058,27,16,7,3,2,2,4,0,0.593,0.259,0.111,0.074,0.074,0.148,0.000,0.404,0.419,U,L,0,0
588011124657881199,27,1,26,20,0,6,0,0,0.037,0.963,0.741,0.000,0.222,0.000,0.000,0.012,0.988,S,L,0,0
588017604163010684,59,39,3,0,0,3,2,15,0.661,0.051,0.000,0.000,0.051,0.034,0.254,0.620,0.081,U,M,0,0
588017625626771588,20,15,1,0,0,1,4,0,0.750,0.050,0.000,0.000,0.050,0.200,0.000,0.749,0.051,U,M,0,0
587736962384789673,58,29,28,7,3,18,1,0,0.500,0.483,0.121,0.052,0.310,0.017,0.000,0.127,0.846,S,L,0,0
587725552269459744,55,39,0,0,0,0,0,16,0.709,0.000,0.000,0.000,0.000,0.000,0.291,0.709,0.000,U,M,0,0
587736813135200516,28,1,26,14,1,11,1,0,0.036,0.929,0.500,0.036,0.393,0.036,0.000,0.017,0.947,S,L,0,0
587728947974766762,32,0,32,0,30,2,0,0,0.000,1.000,0.000,0.938,0.062,0.000,0.000,0.000,1.000,S,L,0,0
587725816944197838,36,6,29,1,12,16,1,0,0.167,0.806,0.028,0.333,0.444,0.028,0.000,0.042,0.927,S,L,0,0
587739706336280619,30,1,1,0,0,1,16,12,0.033,0.033,0.000,0.000,0.033,0.533,0.400,0.033,0.033,U,N,1,0
587741708332236998,51,0,51,1,48,2,0,0,0.000,1.000,0.020,0.941,0.039,0.000,0.000,0.000,1.000,S,L,0,0
588297863647461510,20,1,18,0,17,1,1,0,0.050,0.900,0.000,0.850,0.050,0.050,0.000,0.030,0.920,S,L,0,0
587732772658806956,73,7,9,1,1,7,13,44,0.096,0.123,0.014,0.014,0.096,0.178,0.603,0.084,0.130,U,N,1,1
587727225157451822,23,17,4,0,3,1,1,1,0.739,0.174,0.000,0.130,0.043,0.043,0.043,0.613,0.290,U,M,0,0
587726016679510113,63,56,5,2,0,3,2,0,0.889,0.079,0.032,0.000,0.048,0.032,0.000,0.807,0.158,U,M,0,0
587722982819037412,38,36,2,0,0,2,0,0,0.947,0.053,0.000,0.000,0.053,0.000,0.000,0.888,0.112,U,M,0,0
587732577760772515,25,0,25,0,25,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588011123048579214,67,15,51,39,1,11,1,0,0.224,0.761,0.582,0.015,0.164,0.015,0.000,0.120,0.864,S,L,0,0
587732152032690362,34,31,2,0,2,0,1,0,0.912,0.059,0.000,0.059,0.000,0.029,0.000,0.835,0.132,U,M,0,0
587735241177825524,28,6,22,0,18,4,0,0,0.214,0.786,0.000,0.643,0.143,0.000,0.000,0.161,0.839,S,L,0,0
587724231563477157,31,0,31,31,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587727221408333988,22,21,1,1,0,0,0,0,0.955,0.045,0.045,0.000,0.000,0.000,0.000,0.955,0.045,E,M,0,0
587729227690541285,25,17,5,0,2,3,3,0,0.680,0.200,0.000,0.080,0.120,0.120,0.000,0.680,0.200,U,M,0,0
